mean_temp,grass_min_temp,max_temp,mean_amount_of_cloud,mean_dew_point_temp,mean_wet_bulb_temp,min_temp,pressure,rh,month,rain
17.7,12.4,20.7,32,13.4,15.2,15.5,1018.7,77,1,0
19.5,12.8,22.9,44,14.1,16.4,17.2,1018.6,72,1,0
18.8,14.7,21.2,35,13.3,15.7,17.5,1019.2,71,1,0
17.9,13.8,20.7,20,13.1,15.2,16.1,1020.6,74,1,0
14.7,13.1,18.2,66,7.4,11.1,11.8,1026,62,1,1
13.8,9.5,16.9,63,6.7,10.3,10.4,1025.6,63,1,0
14.4,9.3,18,65,7.3,10.9,11.8,1022.9,62,1,0
15.7,12.6,18.8,83,9.3,12.4,13.7,1021.2,66,1,0
15.7,14.9,16.7,87,11.5,13.5,14.6,1021.1,76,1,0
13.8,10,16,69,6.4,10.3,11.6,1023.1,61,1,0
13.8,6.9,17.5,44,6.6,10.3,11,1022.5,62,1,0
15.9,8.4,19.7,53,11.7,13.6,13.1,1020.8,76,1,0
17.7,13.3,21.5,87,12.4,14.8,15.8,1020.7,72,1,1
15.2,14,16.5,91,13,14,13.7,1019.2,87,1,1
11.1,6,14,30,4.1,8,8.2,1025,63,1,0
11.3,6.3,15.1,45,4.1,8.1,8.2,1027,62,1,0
12.4,6.1,15.4,48,6.5,9.6,9.8,1025.9,68,1,0
11.6,8.9,13.5,91,6.8,9.3,8.9,1025.5,73,1,1
10.8,7,15.3,54,3.7,7.7,7.6,1025.2,63,1,1
11.7,7.8,15.2,29,4.5,8.5,8.2,1023,61,1,0
13.5,6.5,17.5,30,7.1,10.4,10.6,1020.8,66,1,0
15.5,10.3,19.2,67,9.9,12.6,12.8,1018,70,1,0
17.7,11.3,21.9,49,12.5,14.8,14.6,1016.6,72,1,0
15.3,13.1,16.9,89,10.4,12.7,14.3,1018.5,73,1,1
14.6,12.8,16.5,91,11.7,13,13.2,1018.6,83,1,1
15.2,13.3,17.1,97,12.8,13.9,14.3,1015.8,86,1,1
15.8,14.3,18.1,95,14.5,15.1,14.6,1011.9,92,1,1
16.2,15.7,17.2,100,15.2,15.6,15.4,1012.2,94,1,1
14.9,14.2,15.7,93,13.4,14.1,13.1,1013.9,91,1,1
14.8,8.6,18.7,16,3.8,9.8,12,1019.5,49,1,0
13.5,6.6,17.3,1,-0.3,7.8,10.2,1021.5,40,1,0
14,5.9,16.9,24,6.8,10.5,11.6,1020.8,62,2,0
16.3,10.4,19.4,46,9.8,12.9,13.8,1020,67,2,0
18.1,11.9,22,58,11.5,14.5,15.5,1019.6,66,2,0
17.9,10.7,20.9,34,11.6,14.4,15.2,1021.2,67,2,0
16,12.5,19.2,76,10,12.8,14.4,1024.1,68,2,0
15.4,12.2,18,86,9.7,12.4,13.7,1023.2,69,2,1
17.7,12.2,23,50,12.3,14.7,14.6,1021.2,72,2,0
20.6,13,25.6,36,14.8,17.2,17.4,1019.8,70,2,0
16.5,13.8,19.2,82,13.1,14.6,14.9,1022.5,80,2,0
14.9,12.4,17.3,67,8.9,11.8,13.7,1023.8,68,2,0
13.7,12.2,14.7,89,10.6,12.1,12.7,1023.8,82,2,1
14.4,11.7,17.7,71,10,12.1,12.7,1022.8,75,2,1
16.2,8.2,20.7,4,11.2,13.5,12.6,1020.4,73,2,0
17.8,10.1,22.6,30,9.8,13.6,14.4,1019.4,61,2,0
19.6,11.7,24.1,29,13.3,16,16,1019.6,68,2,0
16.9,9.7,20.5,16,8.8,12.7,14.2,1021.4,60,2,0
16.4,10.8,20.2,17,11,13.5,14.2,1019.3,71,2,0
18.5,11.3,22,69,13.4,15.6,15.7,1016.8,73,2,0
19.9,15.2,23.9,82,16.9,18.1,17.5,1015.5,83,2,0
20.7,15.8,23.6,81,18.5,19.4,19,1013.9,88,2,0
18.7,15,21.8,89,17.1,17.7,17,1012.9,90,2,0
19,15.5,21.4,91,16.8,17.6,17.1,1014.1,87,2,0
18.5,16.4,21,95,16.4,17.2,17.2,1015.3,88,2,1
20.4,17.4,24.2,71,18,18.9,18.2,1014.5,87,2,1
20.9,15.7,26.1,43,18.2,19.2,18.9,1012.4,85,2,0
22,15.7,25,71,19.3,20.2,19.1,1011.8,85,2,0
18.5,15,21.4,98,16.5,17.3,17.4,1013.5,88,2,1
15.6,14.4,18,100,11.5,13.4,13.9,1016.8,77,2,1
14.7,13.5,15.5,100,12.8,13.6,13.5,1014.8,89,3,1
18.4,14.3,21.7,98,17.2,17.6,15.5,1010.2,93,3,1
17.4,16.9,20.5,100,16.1,16.6,14.6,1013.4,92,3,1
13.3,12.7,14.8,99,10.6,11.9,12.3,1018.7,84,3,1
13.8,12.3,14.2,100,11.4,12.5,12.7,1018.5,85,3,1
14.6,12.5,15.6,100,13.3,13.8,13.4,1017.5,92,3,1
15,12.5,16.2,99,13,13.9,14.3,1016.8,88,3,1
14.2,12.3,15.8,100,10.4,12.2,12.9,1016.5,78,3,1
15.1,13.3,16.7,100,13.1,14,13.8,1013.6,88,3,1
17.2,14.6,18.2,100,16.4,16.7,15.7,1011.9,95,3,1
15.4,14.7,16.7,100,14.3,14.8,14.5,1013.2,93,3,1
14.7,14.3,15.2,100,13.9,14.2,14.2,1012.2,95,3,1
15.4,14.2,16.2,100,14.4,14.8,14.3,1012.8,94,3,1
14.1,12.2,15.5,100,12.9,13.5,13.1,1013.8,93,3,1
15.3,13.2,18,99,14.5,14.8,13.4,1011.4,95,3,1
12.5,10.7,13.7,100,9,10.8,11.7,1014.2,80,3,1
13,12.2,13.6,100,9.9,11.4,11.8,1015.3,81,3,1
13.4,11.3,14.7,100,9.4,11.3,12.2,1018.9,77,3,1
14.2,12.6,16.1,100,9.6,11.8,13.3,1019.9,74,3,0
13.9,12.2,14.8,95,10,11.9,12.9,1018.7,77,3,0
16.7,12.6,20,53,12.5,14.4,13.9,1017.7,77,3,0
17,13.5,20,93,11.1,13.8,15,1020.6,69,3,0
15.2,12.9,17.6,95,10,12.5,14,1021.1,71,3,0
17,13.4,21,99,13.3,14.9,14.4,1019.3,79,3,1
15.6,14.5,17.3,98,13.5,14.4,14.5,1019.6,88,3,1
14.2,12.8,14.8,97,12.6,13.4,13.4,1018,90,3,1
16.9,13.1,20.7,78,14.7,15.6,14.1,1015.4,87,3,1
20.1,14.6,23.6,41,16.5,17.9,16.9,1015.2,81,3,0
